Enter no. of students (N) : 1000
Enter no. of groups (K) : 59
Enter no. of attributes (M) : 83
Enter minimum marks : 0
Enter maximum marks : 100
Student 1 : [92.49, 36.16, 78.49, 39.37, 19.09, 38.97, 0.06, 59.81, 65.88, 84.15, 45.24, 22.05, 35.66, 27.48, 18.44, 74.8, 75.55, 95.92, 91.78, 24.98, 54.34, 78.69, 83.71, 75.42, 16.46, 31.6, 4.16, 67.01, 29.92, 60.31, 82.81, 59.73, 73.61, 20.88, 45.84, 92.21, 2.46, 38.75, 69.56, 5.24, 88.34, 1.04, 19.38, 1.17, 59.15, 21.11, 77.16, 37.98, 48.93, 9.48, 70.8, 24.74, 27.65, 10.38, 46.25, 93.32, 1.22, 79.48, 63.76, 70.13, 59.11, 85.19, 58.12, 61.29, 99.98, 12.99, 75.32, 94.75, 84.26, 40.46, 87.3, 33.8, 46.56, 29.39, 90.35, 87.57, 50.46, 50.16, 13.25, 96.5, 83.79, 13.99, 96.5]
Student 2 : [20.58, 76.05, 63.23, 28.35, 64.92, 0.13, 99.59, 42.78, 90.54, 77.32, 95.18, 93.94, 42.57, 5.03, 85.6, 97.98, 70.54, 22.69, 8.37, 44.86, 23.95, 19.33, 12.55, 3.65, 8.96, 75.84, 64.55, 23.78, 82.71, 86.98, 16.87, 2.27, 28.11, 99.56, 6.11, 24.07, 8.54, 11.22, 85.53, 85.75, 49.12, 97.01, 78.07, 81.03, 29.62, 69.92, 56.24, 60.59, 2.16, 35.96, 17.0, 78.78, 66.58, 74.19, 21.45, 4.6, 45.81, 57.96, 12.14, 5.74, 4.39, 34.84, 3.99, 10.81, 44.25, 99.42, 68.62, 17.1, 93.46, 26.08, 96.73, 39.24, 76.39, 76.52, 27.98, 87.33, 16.32, 60.92, 83.95, 22.3, 75.44, 10.95, 25.99]
Student 3 : [6.16, 50.31, 25.76, 26.12, 44.96, 12.47, 47.67, 17.34, 77.18, 7.41, 74.05, 43.91, 5.55, 67.45, 24.12, 3.06, 16.44, 67.92, 93.28, 70.13, 21.21, 1.33, 48.24, 65.76, 25.98, 94.17, 71.89, 58.17, 50.7, 98.95, 26.05, 85.09, 50.71, 17.65, 20.96, 55.16, 28.91, 64.24, 55.07, 41.58, 65.52, 54.02, 15.7, 12.43, 33.45, 15.19, 12.31, 51.18, 12.2, 54.11, 47.1, 8.98, 60.88, 70.04, 15.11, 95.55, 61.82, 7.24, 65.49, 59.81, 0.25, 52.89, 48.98, 32.92, 2.73, 37.61, 22.54, 6.79, 17.01, 72.37, 81.72, 99.35, 79.82, 59.88, 43.43, 13.94, 85.09, 51.94, 7.77, 35.01, 35.19, 84.98, 85.76]
Student 4 : [94.54, 83.94, 46.56, 20.15, 72.69, 9.04, 38.19, 82.51, 58.75, 83.33, 87.55, 21.65, 55.9, 97.62, 22.72, 58.67, 24.8, 23.76, 47.29, 37.67, 56.19, 27.44, 1.79, 89.29, 33.81, 90.65, 80.91, 87.09, 74.86, 21.4, 23.83, 42.36, 11.64, 86.42, 66.37, 48.49, 69.77, 1.82, 81.05, 43.51, 5.88, 55.74, 33.8, 5.98, 90.96, 17.67, 54.55, 38.07, 64.23, 9.71, 53.25, 17.83, 36.69, 76.3, 12.23, 22.15, 93.78, 91.47, 51.32, 31.66, 31.97, 84.78, 93.14, 29.23, 65.51, 50.81, 52.51, 95.15, 56.46, 30.93, 36.03, 83.38, 53.56, 20.36, 65.97, 35.96, 73.74, 59.12, 35.69, 55.58, 23.74, 10.96, 63.37]
Student 5 : [54.86, 88.04, 92.97, 83.09, 63.44, 3.49, 61.36, 24.54, 2.36, 30.12, 40.44, 60.89, 79.0, 13.45, 11.95, 80.36, 75.13, 0.06, 37.61, 2.14, 61.31, 18.39, 5.09, 84.82, 30.26, 81.21, 69.1, 59.1, 70.2, 59.03, 16.57, 46.15, 88.1, 26.75, 82.57, 96.2, 23.47, 4.39, 31.25, 70.5, 63.83, 96.5, 95.22, 94.59, 84.47, 84.94, 35.39, 30.43, 87.31, 44.72, 43.7, 50.82, 6.11, 33.81, 61.38, 50.72, 78.8, 54.29, 26.41, 96.98, 61.47, 94.29, 96.02, 0.66, 73.18, 38.33, 11.83, 93.9, 15.98, 76.82, 88.74, 7.54, 10.17, 54.66, 11.97, 74.65, 21.4, 73.72, 21.09, 30.53, 33.24, 4.01, 44.52]
Student 6 : [70.62, 17.13, 1.68, 15.3, 4.89, 33.12, 96.78, 7.98, 61.67, 39.3, 44.23, 97.71, 74.57, 47.6, 35.56, 41.88, 91.65, 70.21, 49.51, 64.11, 29.69, 6.57, 58.49, 43.15, 71.59, 9.6, 84.68, 50.43, 78.92, 9.38, 63.63, 88.37, 80.31, 42.61, 57.89, 60.0, 0.97, 48.36, 12.57, 69.67, 18.59, 42.08, 60.25, 14.72, 66.37, 72.77, 63.41, 78.11, 55.43, 1.67, 29.42, 73.48, 55.58, 14.28, 45.05, 25.62, 55.95, 92.55, 55.47, 91.73, 25.3, 29.12, 56.07, 41.93, 5.34, 61.0, 74.66, 21.01, 99.99, 36.98, 96.11, 7.66, 68.43, 9.74, 21.93, 72.32, 90.48, 61.55, 63.35, 10.16, 49.11, 30.44, 37.77]
Student 7 : [42.85, 32.53, 86.95, 96.69, 1.13, 75.33, 58.97, 78.6, 83.89, 51.28, 0.75, 59.16, 56.5, 8.05, 75.41, 1.83, 27.87, 77.05, 48.19, 76.71, 66.84, 61.67, 13.13, 94.59, 67.51, 52.24, 75.78, 31.23, 93.29, 60.53, 73.62, 40.27, 6.27, 6.88, 1.14, 14.01, 6.4, 99.11, 81.63, 27.27, 63.2, 13.7, 94.14, 91.98, 21.54, 27.34, 20.62, 56.97, 2.81, 49.38, 25.73, 11.16, 2.65, 74.37, 19.71, 86.87, 7.61, 7.97, 83.36, 14.3, 14.17, 19.16, 53.48, 48.38, 35.78, 36.98, 76.74, 74.83, 26.36, 41.06, 40.89, 3.5, 31.62, 91.88, 82.74, 73.85, 4.03, 8.48, 54.69, 30.19, 81.32, 29.84, 3.41]
Student 8 : [61.04, 90.28, 84.48, 24.57, 66.15, 88.32, 2.02, 71.93, 18.99, 89.78, 93.05, 24.54, 77.57, 5.73, 4.91, 61.21, 79.67, 61.96, 86.69, 81.95, 32.33, 63.99, 11.36, 26.53, 1.77, 55.09, 87.94, 91.76, 73.05, 99.05, 81.64, 15.7, 63.22, 15.35, 69.76, 1.01, 0.65, 30.75, 35.29, 43.56, 28.51, 88.47, 40.83, 17.47, 50.81, 73.7, 31.28, 43.12, 15.98, 72.5, 85.21, 30.97, 24.45, 80.14, 72.36, 50.48, 54.58, 14.41, 77.1, 21.1, 24.3, 69.67, 16.65, 60.04, 44.45, 68.08, 16.38, 50.25, 74.47, 26.08, 4.79, 11.33, 60.92, 56.11, 55.6, 65.77, 24.93, 66.17, 35.74, 93.69, 66.25, 3.3, 14.23]
Student 9 : [78.04, 30.59, 25.84, 23.25, 74.95, 93.18, 21.98, 85.83, 84.24, 96.04, 91.08, 45.32, 79.81, 47.42, 0.53, 89.4, 39.58, 22.0, 83.58, 98.38, 97.15, 8.91, 92.13, 8.08, 46.79, 16.43, 44.62, 49.06, 58.12, 86.4, 97.83, 72.09, 86.0, 25.55, 32.05, 68.66, 80.05, 31.44, 41.76, 61.44, 8.22, 75.75, 66.36, 69.82, 9.3, 9.45, 78.61, 52.86, 80.42, 71.09, 72.83, 93.83, 87.11, 11.71, 59.02, 18.35, 56.25, 98.53, 74.51, 31.9, 74.79, 22.88, 70.37, 21.1, 71.03, 17.51, 16.42, 88.38, 99.47, 83.34, 95.55, 79.44, 84.88, 36.24, 25.86, 19.37, 6.96, 11.01, 57.35, 94.54, 22.99, 1.29, 38.94]
Student 10 : [65.21, 44.91, 68.02, 27.34, 34.13, 85.01, 94.51, 54.58, 87.4, 34.37, 90.95, 0.66, 40.88, 81.2, 28.99, 91.28, 70.08, 67.05, 88.56, 46.37, 31.0, 14.07, 24.44, 25.54, 18.68, 67.3, 20.8, 88.65, 25.05, 15.6, 86.56, 21.45, 84.48, 3.55, 72.23, 89.81, 49.74, 49.48, 95.6, 2.54, 24.75, 40.29, 48.03, 82.1, 90.77, 82.24, 15.43, 65.88, 2.32, 48.89, 89.25, 85.91, 96.29, 82.27, 61.12, 4.44, 53.05, 71.36, 92.07, 14.6, 71.87, 53.2, 22.33, 50.74, 74.89, 56.31, 40.79, 91.43, 33.17, 33.4, 64.68, 79.6, 16.9, 11.13, 89.43, 28.87, 7.21, 18.14, 56.41, 32.96, 71.79, 39.57, 51.61]
